Step	Vpot	GRMS	xO	yO	zO	xH1	yH1	zH1	xH2	yH2	zH2
0	0.0020157850770950937	0.8886935673619495	0.931	0.293	1.371	1.568	1.002	1.273	1.464	-0.488	1.523
1	0.0003601798763753733	0.762895077911856	0.9296428138989644	0.29378631716015685	1.3708176922020054	1.5682470857397919	0.9993779163003323	1.2734552916632635	1.4651100983522103	-0.4861642335420244	1.5227270163571223
2	7.932494057796275e-05	0.278239243547474	0.9295587945272218	0.2930761781971864	1.3709356141462168	1.5685587893141317	0.9995452851373501	1.273437913211736	1.4648824135283611	-0.48562146344126617	1.5226264729324748
3	3.182572181839337e-05	0.13017881586870714	0.9295014271201177	0.29331428715479024	1.370893023685473	1.5684875872606967	0.9993238925604597	1.2734730709393207	1.4650109823674466	-0.4856381798474827	1.522633905733373
4	1.4648701384861427e-05	0.11054082963682199	0.9294142797685135	0.29319530325907395	1.3709101750536747	1.5685705830670522	0.9992431533793181	1.2734897800481775	1.4650151329071628	-0.48543845681175857	1.5226000453659823
5	6.462902196615681e-06	0.05588040543600831	0.9293892697183829	0.2932851015091864	1.3708939926073922	1.5685447938184176	0.9991498100001733	1.2735047542750388	1.46506593158443	-0.48543491170821557	1.5226012536530815
6	2.7911837967080045e-06	0.04464682511350309	0.9293494384360311	0.29324081167960686	1.370900113437025	1.5685787704441942	0.9991082474171531	1.2735130437986897	1.465071785235389	-0.4853490593368109	1.5225868434093233
7	1.3259166156112165e-06	0.02437170655531587	0.9293378171962318	0.29327469833294445	1.3708939290066806	1.5685698851125496	0.9990687913337775	1.2735194454020464	1.4650922911853095	-0.4853434899322596	1.5225866263039587
8	5.457601556303206e-07	0.018372454858920608	0.9293197570001392	0.2932582512664968	1.3708960855921228	1.5685838419067082	0.9990479604128673	1.2735234906203998	1.4650963935815904	-0.4853062119861232	1.5225804246096248
9	2.7398912273586916e-07	0.010770269662146016	0.9293142875650442	0.29327104905194623	1.37089371154343	1.568580920036887	0.9990311623787091	1.273526246865709	1.465104784264971	-0.4853022117629015	1.5225800424806415
10	8.866779586054461e-08	0.011029391179069835	0.9293010458438262	0.29326119476977197	1.3708949176636192	1.5685902688714464	0.9990146173073906	1.2735293981123434	1.4651086755244218	-0.48527581247612483	1.5225756852908845
11	2.5658211296280374e-08	0.004360574702529609	0.9293000111002155	0.29327134963960705	1.3708931518474512	1.5685866045342816	0.9990068554173395	1.273530589237494	1.4651133739836535	-0.485278205481399	1.5225762600495227
12	1.1992851668382971e-08	0.0023370034795088873	0.9292984742704884	0.2932681428782066	1.370893643275228	1.5685885195619556	0.9990061593970799	1.2735307762652275	1.4651129951641626	-0.48527430272522554	1.522575581661636
13	4.987354013146273e-09	0.0017856893649771625	0.9292969941294804	0.29326998305882135	1.3708932774931761	1.5685883809367107	0.9990025672475151	1.2735313832870105	1.4651146129247345	-0.48527255079751613	1.5225753405313183
14	2.474193507054422e-09	0.0010297830982509632	0.929296308601297	0.2932687856763845	1.37089345714379	1.5685891413613677	0.9990021192616831	1.2735314868897245	1.4651145374067156	-0.485270905454735	1.5225750573456114
15	8.466251932771724e-10	0.0010922329622126722	0.9292951949513939	0.2932699171056971	1.3708932253416928	1.5685891386763313	0.9989995670221934	1.2735319218835597	1.465115652114427	-0.48526948471128734	1.5225748543309052
16	2.359599901016964e-10	0.00042622236127895697	0.9292949609367427	0.29326892758310047	1.3708933857068097	1.5685896318455375	0.998999758926293	1.273531906994376	1.465115392338326	-0.4852686871182785	1.5225747089225916
17	1.0839187066809794e-10	0.0002242780119308439	0.9292948593843444	0.29326926251194335	1.3708933252761741	1.5685895382399901	0.9989993889875415	1.2735319668397656	1.4651155868747252	-0.4852686521338585	1.5225747095754567
18	4.552055828627709e-11	0.00017373953043207498	0.9292946950445009	0.29326909884832325	1.3708933476410134	1.5685896706932008	0.998999208973015	1.2735320025299774	1.465115617755675	-0.4852683084969532	1.5225746516298158
19	2.228430000435996e-11	9.852662810233494e-05	0.9292946465208045	0.29326922529921806	1.3708933246008446	1.5685896394029768	0.9989990523321322	1.2735320282791256	1.4651156969480488	-0.48526827833245384	1.5225746489884557
20	8.061185143988683e-12	0.00010819800829907734	0.9292945260119451	0.29326912726300025	1.37089333757704	1.568589727477518	0.9989989078433748	1.2735320565303123	1.4651157277551372	-0.48526803587420875	1.5225746079381024
21	2.1590650726302354e-12	4.17053763282932e-05	0.9292945171604725	0.29326922778899983	1.3708933203665614	1.5685896904832937	0.9989988336288901	1.273532068040787	1.4651157729792876	-0.4852680622112124	1.5225746137057254
22	9.646870930134093e-13	2.1546099751566812e-05	0.9292945029005044	0.2932691960530515	1.3708933254840778	1.5685897089057945	0.9989988287432989	1.2735320697232733	1.4651157681952083	-0.4852680256151616	1.5225746069733417
23	4.097124185400956e-13	1.69286688713477e-05	0.9292944893452557	0.2932692143183013	1.3708933222502144	1.5685897068326182	0.9989987956216569	1.2735320756019757	1.46511578281795	-0.48526801080001086	1.5225746044379123
