Name	Activity	IC50	pIC50	logS	apol	ast_fraglike	ast_fraglike_ext	ast_violation	ast_violation_ext	a_acc	a_acid	a_aro	a_base	a_count	a_don	a_donacc	a_heavy	a_hyd	a_IC	a_ICM	a_nB	a_nBr	a_nC	a_nCl	a_nF	a_nH	a_nI	a_nN	a_nO	a_nP	a_nS	balabanJ	BCUT_PEOE_0	BCUT_PEOE_1	BCUT_PEOE_2	BCUT_PEOE_3	BCUT_SLOGP_0	BCUT_SLOGP_1	BCUT_SLOGP_2	BCUT_SLOGP_3	BCUT_SMR_0	BCUT_SMR_1	BCUT_SMR_2	BCUT_SMR_3	bpol	b_1rotN	b_1rotR	b_ar	b_count	b_double	b_heavy	b_max1len	b_rotN	b_rotR	b_single	b_triple	chi0	chi0v	chi0v_C	chi0_C	chi1	chi1v	chi1v_C	chi1_C	chiral	chiral_u	density	diameter	FCharge	GCUT_PEOE_0	GCUT_PEOE_1	GCUT_PEOE_2	GCUT_PEOE_3	GCUT_SLOGP_0	GCUT_SLOGP_1	GCUT_SLOGP_2	GCUT_SLOGP_3	GCUT_SMR_0	GCUT_SMR_1	GCUT_SMR_2	GCUT_SMR_3	Kier1	Kier2	Kier3	KierA1	KierA2	KierA3	KierFlex	lip_acc	lip_don	lip_druglike	lip_violation	logP(o/w)	mr	mutagenic	nmol	opr_brigid	opr_leadlike	opr_nring	opr_nrot	opr_violation	PC+	PC-	PEOE_PC+	PEOE_PC-	PEOE_RPC+	PEOE_RPC-	PEOE_VSA+0	PEOE_VSA+1	PEOE_VSA+2	PEOE_VSA+3	PEOE_VSA+4	PEOE_VSA+5	PEOE_VSA+6	PEOE_VSA-0	PEOE_VSA-1	PEOE_VSA-2	PEOE_VSA-3	PEOE_VSA-4	PEOE_VSA-5	PEOE_VSA-6	PEOE_VSA_FHYD	PEOE_VSA_FNEG	PEOE_VSA_FPNEG	PEOE_VSA_FPOL	PEOE_VSA_FPOS	PEOE_VSA_FPPOS	PEOE_VSA_HYD	PEOE_VSA_NEG	PEOE_VSA_PNEG	PEOE_VSA_POL	PEOE_VSA_POS	PEOE_VSA_PPOS	petitjean	petitjeanSC	Q_PC+	Q_PC-	Q_RPC+	Q_RPC-	Q_VSA_FHYD	Q_VSA_FNEG	Q_VSA_FPNEG	Q_VSA_FPOL	Q_VSA_FPOS	Q_VSA_FPPOS	Q_VSA_HYD	Q_VSA_NEG	Q_VSA_PNEG	Q_VSA_POL	Q_VSA_POS	Q_VSA_PPOS	radius	reactive	rings	RPC+	RPC-	rsynth	SlogP	SlogP_VSA0	SlogP_VSA1	SlogP_VSA2	SlogP_VSA3	SlogP_VSA4	SlogP_VSA5	SlogP_VSA6	SlogP_VSA7	SlogP_VSA8	SlogP_VSA9	SMR	SMR_VSA0	SMR_VSA1	SMR_VSA2	SMR_VSA3	SMR_VSA4	SMR_VSA5	SMR_VSA6	SMR_VSA7	TPSA	VAdjEq	VAdjMa	VDistEq	VDistMa	vdw_area	vdw_vol	vsa_acc	vsa_acid	vsa_base	vsa_don	vsa_hyd	vsa_other	vsa_pol	Weight	weinerPath	weinerPol	zagreb
1	1	7	5.154902	-4.69138	49.423065	0	0	2	3	0	0	15	1	42	1	1	23	21	61.056087	1.4537164	0	0	19	0	2	19	0	2	0	0	0	1.5816995	-2.7330222	-0.61761916	0.66497546	2.7793245	-3.413584	-0.49495429	0.77341163	2.669167	-2.5463305	-0.45664662	0.82308418	2.9665196	23.836933	2	0.07692308	16	45	0	26	2	2	0.07692308	29	0	15.811191	12.728103	10.894823	12.396976	11.237184	8.0609188	6.3372226	8.2659864	2	2	0.73926163	9	1	-0.87287146	-0.39214414	0.11256167	2.8162324	-2.247577	-0.26489133	0.19332649	2.867686	-0.63600618	-0.20610607	0.18413123	3.0628545	16.467455	7.0869246	3.2544379	12.22962	5.1862664	2.3551273	2.7576549	2	3	1	0	4.434	8.8539257	0	1	22	1	4	4	0	4.1729999	-3.174	2.5224595	-1.5224596	0.13743839	0.23245788	30.405561	88.534218	14.4881	8.6190128	0	0	17.238026	41.181789	61.274521	0	0	23.817272	0	0.13689101	0.85581779	0.4424659	0.083845109	0.14418219	0.5575341	0.060337082	244.5032	126.41048	23.954163	41.192188	159.28493	17.238026	0.44444445	0.80000001	4.1729999	-3.174	0.12053678	0.28544423	0.73287237	0.48115632	0.065132961	0.26712763	0.51884365	0.20199466	209.37827	137.46414	18.608187	76.317131	148.23125	57.708942	5	0	4	0.12053678	0.28544423	0.60869563	3.3627999	18.01075	0	36.252789	36.879158	3.185575	0	4.4107962	151.8049	18.868406	29.920227	8.7606096	0	47.930977	25.906548	17.94261	10.659424	160.01389	36.879158	0	32.400002	0.46357921	5.7004399	2.9695871	8.8014994	285.6954	423.89731	0	0	5.6825762	11.365152	246.96768	0	11.365152	313.371	1066	38	126
pilsicainide	1	20.4	4.6903701	-2.76809	49.591824	1	1	0	0	1	0	6	1	45	1	2	20	16	59.550117	1.3233359	0	0	17	0	0	25	0	2	1	0	0	1.5795405	-2.644748	-0.45588174	0.46165636	2.9380527	-3.4585035	-0.36579686	0.44534537	2.8029249	-2.4443672	-0.28206021	0.59880513	3.1364596	30.268175	3	0.13636364	6	47	1	22	2	4	0.18181819	40	0	14.164926	12.590047	11.181798	11.880469	9.6057911	7.8194613	6.1582303	7.1067724	0	0	0.66837478	9	1	-0.88464993	-0.34648916	0.047150388	2.9218025	-2.2575126	-0.24434026	0.057521615	2.8651958	-0.63646919	-0.17931716	0.14460099	3.1164613	14.917356	6.0117188	2.9789076	12.205417	4.863266	2.3898644	2.9679096	3	2	1	0	2.8789999	8.1561604	0	1	15	1	3	3	0	3.8139999	-2.8139999	2.2339716	-1.2339716	0.15616067	0.26887009	109.75098	64.943665	0	8.6190128	12.949531	0	8.6190128	41.912434	36.764713	0	0	0	13.566921	0.13689101	0.88134301	0.31077164	0.046099935	0.118657	0.68922836	0.072557069	261.99081	92.380959	13.703812	35.272354	204.8822	21.568544	0.44444445	0.80000001	3.8139999	-2.8139999	0.14918721	0.34079602	0.76358986	0.18463641	0.046099935	0.23641011	0.81536359	0.19031018	226.98714	54.885601	13.703812	70.276016	242.37756	56.572208	5	0	3	0.14918721	0.34079602	0.44999999	1.84334	3.1243138	23.269535	23.862217	36.879158	6.37115	0	0	52.929554	94.342026	69.408775	8.1058397	26.98653	0	0	6.37115	20.767498	147.27158	42.137939	66.652031	33.540001	0.49991596	5.4594316	3.0519078	8.3485212	297.26315	409.05194	13.566921	0	0	5.6825762	237.0005	12.949531	19.249496	273.39999	813	30	108
DISOPYRAMIDE	0	92	4.036212	-3.49438	61.065788	0	0	1	2	2	0	12	1	55	1	3	25	20	73.774513	1.3413547	0	0	21	0	0	30	0	3	1	0	0	2.2512052	-2.7906599	-0.53104669	0.60201323	2.7690332	-3.5040443	-0.48785487	0.67034119	2.6005924	-2.5844526	-0.39601907	0.72739905	2.9710855	35.734211	8	0.30769232	12	56	1	26	7	8	0.30769232	43	0	18.449383	15.697879	13.765066	15.164926	11.891588	9.0178223	7.1123133	8.7537251	1	1	0.65897554	9	1	-0.8802259	-0.34851786	0.066463768	2.9720247	-2.2597756	-0.26386139	0.13552126	2.9206157	-0.62910366	-0.19997035	0.16017406	3.1817732	21.301775	9.7962961	5.0416665	16.31303	7.4126258	3.7806873	4.8368955	4	3	1	0	3.7290001	10.394304	0	1	12	1	2	8	0	5.2919998	-4.2930002	2.7477231	-1.747723	0.12694949	0.21100914	85.162636	81.633812	0	17.238026	12.949531	0	8.6190128	101.70906	73.529427	0	0	0	19.249496	6.6511192	0.88329422	0.49451259	0.063678227	0.11670579	0.50548738	0.053027567	359.27295	201.1391	25.900616	47.469162	205.60301	21.568544	0.44444445	0.80000001	5.2919998	-4.2930002	0.10752079	0.22338691	0.79301029	0.31014341	0.063678227	0.20698971	0.68985659	0.14331149	322.55069	126.14838	25.900616	84.191429	280.59372	58.290817	5	0	2	0.10752079	0.22338691	1	1.9448	36.0215	22.044313	31.826153	18.439579	5.9423227	0	0	158.35983	18.868406	133.30406	10.13721	26.98653	16.78553	0	13.90626	32.897186	177.22824	23.698362	133.30406	60.419998	0.41335541	5.7004399	3.0603054	9.0534706	406.74213	516.69745	19.249496	0	0	17.742489	322.81647	12.949531	36.991985	340.491	1372	42	124
RITONAVIR	1	8.1999998	5.0861859	-6.2857499	113.53606	0	0	4	6	6	0	22	0	98	4	10	50	36	158.29417	1.6152467	0	0	37	0	0	48	0	6	5	0	2	1.3874168	-2.7144141	-0.51930356	0.5806976	2.707427	-2.8710985	-0.46021175	0.67699885	2.636477	-2.4653656	-0.39122003	0.73829281	2.9509759	68.423935	18	0.33962265	22	101	3	53	7	22	0.41509435	76	0	36.045029	30.876526	23.50519	25.810825	23.977274	18.568356	10.999342	13.358211	4	0	0.74469215	22	0	-0.83729672	-0.38844505	0.062127329	3.0360904	-1.1654736	-0.29156563	0.13883604	3.0260117	-0.53113741	-0.20909584	0.19305076	3.2793894	42.737629	22.395555	14.987959	34.812023	18.162325	12.118054	12.645346	11	4	0	3	5.0040002	20.322235	0	1	22	0	4	17	4	8.9980001	-8.9980001	4.4528098	-4.4528098	0.081129946	0.087513678	147.93399	125.76762	3.1459606	65.378273	23.273705	0	36.640053	57.91861	215.95532	0	0	27.133842	27.435829	8.1782131	0.8339631	0.45565701	0.084936604	0.16603689	0.54434299	0.081100278	616.09979	336.6218	62.747883	122.66164	402.13959	59.913757	0.5	1	8.9980001	-8.9980001	0.086685933	0.081129141	0.68465358	0.33522433	0.084936604	0.31534642	0.66477567	0.23040983	505.79562	247.6508	62.747883	232.96577	491.1106	170.2179	11	0	4	0.086685933	0.081129141	1	6.4379401	79.41748	54.10075	53.276661	0	15.826669	70.633995	4.4107962	224.8494	18.868406	282.94971	19.73069	82.58654	62.080601	58.443047	34.241222	0	320.82043	17.405376	228.75662	145.78	0.25318992	6.7279205	4.202127	11.0307	738.76141	968.13159	52.065914	0	0	17.047728	556.23364	52.093342	82.680565	720.95996	10769	69	248
berberine	0	66.069	4.1800022	-4.50915	51.510273	0	0	3	3	4	0	16	1	43	0	4	25	19	63.832172	1.4844692	0	0	20	0	0	18	0	1	4	0	0	1.3355161	-2.4503663	-0.56317753	0.47241071	2.5528312	-2.5946302	-0.51037699	0.58866292	2.589565	-2.2570915	-0.3247751	0.73444921	2.7664964	29.321726	2	0.068965517	17	47	0	29	2	2	0.068965517	30	0	16.965891	14.165628	12.085422	13.560114	12.279519	8.2933397	5.2849631	7.0824828	0	0	0.74867195	12	1	-0.78260279	-0.40166068	-0.030025307	2.7540131	-1.426775	-0.35973203	0.1013576	2.8524401	-0.55383223	-0.1976143	0.12717749	3.0014696	17.122473	6.8664141	2.8359375	13.024308	5.1590695	2.111155	2.6877325	5	0	1	0	4.0457401	9.3647861	0	1	25	1	5	2	1	3.552	-2.556	2.6645813	-1.6645812	0.081000917	0.2074509	79.482307	59.867096	46.630238	51.139515	6.6995511	0	0	41.181789	12.254904	0	0	0	0	10.015024	0.94560307	0.20650123	0.032593518	0.054396957	0.79349875	0.021803437	290.55585	63.451721	10.015024	16.714575	243.8187	6.6995511	0.5	1	3.552	-2.556	0.15765765	0.14201878	0.61646354	0.23919675	0.032593518	0.38353643	0.76080328	0.35094291	189.42102	73.498085	10.015024	117.8494	233.77234	107.83438	6	0	5	0.15765765	0.14201878	1	3.3626699	45.898643	0	0	22.984112	3.185575	89.636139	0	116.51853	0	39.413292	9.2714996	1.8990928	43.99955	0	24.159286	11.088251	142.73827	22.984112	70.767738	40.799999	0.44574744	5.8579812	3.3014505	8.994668	307.27042	449.28491	10.015024	0	0	0	256.13461	28.308455	10.015024	336.367	1405	47	144
1	1	8.1999998	5.0861859	-2.8308499	42.653481	1	0	0	1	1	0	9	1	38	1	2	21	16	65.331017	1.7192373	0	0	15	0	2	17	0	2	2	0	0	1.8217466	-2.7323864	-0.55955887	0.54078835	2.7803879	-3.4136202	-0.37398651	0.70616978	2.6619554	-2.5464194	-0.37780234	0.71342635	2.9660921	24.524519	2	0.086956523	10	40	1	23	2	3	0.13043478	29	0	14.982763	11.657847	9.0080719	9.8614426	10.113392	6.966732	4.4265389	5.4494896	2	1	0.79894865	9	1	-0.87277329	-0.40748671	0.11609794	2.759388	-2.247575	-0.2440061	0.1976787	2.7526178	-0.63600737	-0.18691924	0.15838049	2.9819875	15.879017	6.6299357	3.0623817	12.361075	5.091599	2.3274014	2.9970303	4	3	1	0	2.415	7.6207762	0	1	16	1	3	4	0	4.4549999	-3.4560001	2.7969646	-1.7969648	0.12394964	0.19457653	50.912209	80.003448	21.187651	8.6190128	0	0	31.946526	36.764713	0	0	0	23.817272	13.566921	2.6406472	0.7329036	0.28497741	0.1485381	0.2670964	0.71502262	0.11855829	197.48703	76.789551	40.024837	71.971367	192.66884	31.946526	0.44444445	0.80000001	4.4549999	-3.4560001	0.18069585	0.26215279	0.50977975	0.34239164	0.12869839	0.49022025	0.65760833	0.36152187	137.36443	92.2603	34.678864	132.09396	177.19809	97.4151	5	0	3	0.18069585	0.26215279	0.47619048	1.4823999	18.01075	7.7454643	47.252674	36.879158	29.804539	35.383869	4.4107962	57.646656	18.868406	29.920227	7.3509598	34.862103	47.930977	25.906548	20.699358	4.7171016	71.797958	44.624619	35.383869	58.700001	0.48250595	5.523562	2.9042692	8.5342026	269.4584	369.62198	13.566921	0	5.6825762	11.365152	201.37511	17.212255	24.932074	295.30899	837	35	112
sertindole1	0	88	4.0555172	-4.5190501	68.292206	0	0	2	3	1	0	15	1	58	1	2	30	24	87.117859	1.502032	0	0	24	1	0	28	0	4	1	0	0	1.1645899	-2.8131733	-0.60617149	0.64887869	2.7988131	-3.5044496	-0.53807992	0.73826039	2.7302804	-2.6030769	-0.44490084	0.80267549	3.0105038	37.927795	5	0.14705883	16	62	1	34	4	5	0.14705883	45	0	20.501425	17.866926	14.430357	16.062267	14.686673	11.289324	7.2925644	9.1742344	0	0	0.7304517	15	1	-0.88145375	-0.38431948	0.081503585	2.9689023	-2.2597768	-0.286984	0.16445385	2.9801903	-0.62968999	-0.21605732	0.17975956	3.2044806	21.82526	9.8680553	4.8595042	17.322044	7.7657228	3.8012564	4.4839396	5	2	1	0	4.2129998	12.10532	0	1	27	1	5	7	1	5.9530001	-4.954	3.0258265	-2.0258265	0.11515918	0.16603316	95.287956	149.04196	0	8.6190128	0	0	26.059555	63.483059	66.346657	0	0	13.566921	0	0.13689101	0.90589488	0.33969057	0.032431833	0.094105124	0.66030943	0.061673287	382.77866	143.53352	13.703812	39.763367	279.00848	26.059555	0.46666667	0.875	5.9530001	-4.954	0.11590794	0.19358094	0.65853751	0.41103262	0.072063193	0.34146249	0.58896738	0.26939929	278.25977	173.67854	30.449728	144.28224	248.86346	113.83252	8	0	5	0.11590794	0.19358094	1	3.0713999	21.135065	9.853363	0	110.63747	3.185575	0	7.9114027	165.83368	37.736813	63.01086	12.07954	26.98653	5.0234065	18.01075	11.096977	7.4738488	196.09665	115.46742	39.148643	41.709999	0.38632196	6.0874629	3.7158535	9.5001163	422.54202	580.41895	13.566921	0	0	5.6825762	354.30789	17.440542	19.249496	423.96799	2659	47	164
TAMSULOSIN	0	104.8	3.9796388	-3.98897	63.646996	0	0	2	4	4	0	12	1	57	1	5	28	20	91.545082	1.6060541	0	0	20	0	0	29	0	2	5	0	1	1.6732451	-2.6716211	-0.5375967	0.60765696	2.6705115	-3.4168577	-0.52215815	0.66192257	2.519383	-2.4789228	-0.41773468	0.75120276	2.8625951	43.267002	11	0.37931034	12	58	0	29	6	11	0.37931034	46	0	20.570704	17.367916	12.947229	14.242276	13.345885	10.770675	6.1116428	7.7171102	1	1	0.75176215	16	1	-0.8676194	-0.38733184	0.050287127	2.7291896	-2.247787	-0.35161823	0.13904677	2.7106519	-0.63565081	-0.20264609	0.15981199	2.939106	24.271107	12	7.9867673	21.554678	10.608004	7.0372243	8.1661463	7	4	1	0	2.27474	11.11683	0	1	12	1	2	11	1	6.473	-5.4759998	3.3656399	-2.3656399	0.10308404	0.14569983	107.42059	90.608818	45.060658	8.458519	0	0	21.422626	76.468605	36.764713	0	9.0437498	32.016521	0	7.5112681	0.8598119	0.37215677	0.090915285	0.14018807	0.6278432	0.049272783	373.82565	161.80486	39.52779	60.95042	272.97122	21.422626	0.5	1	6.473	-5.4759998	0.22354396	0.17859751	0.62189335	0.32372758	0.11171623	0.37810665	0.67627239	0.26639044	270.38434	140.74901	48.571541	164.39172	294.02707	115.82019	8	0	2	0.22354396	0.17859751	1	1.31467	82.301849	48.171688	10.622711	60.292095	3.185575	55.803009	0	123.50229	0	82.382317	10.74316	48.171688	51.010414	1.5507339	22.897827	31.291433	142.3707	60.292095	108.67664	104.46	0.38060221	5.8579812	3.8147502	9.2833891	434.77606	544.75604	37.024036	0	5.6825762	25.817696	323.828	12.609365	62.841732	409.52701	2488	40	136
0	0	21	4.6777806	-3.54687	64.822243	0	0	2	4	5	0	17	1	55	0	5	32	18	89.626274	1.6295686	0	0	23	0	0	23	0	6	3	0	0	1.2311428	-2.5700669	-0.58571041	0.63908046	2.7525632	-3.3584678	-0.53807992	0.72725081	2.551661	-2.3998575	-0.4382225	0.77924693	2.9490221	36.23576	8	0.22857143	17	58	2	35	4	9	0.25714287	38	1	22.501425	17.640093	13.60193	15.518297	15.600886	10.264902	5.7194142	7.5824828	1	1	0.75212795	18	1	-0.85024369	-0.3975414	0.093880653	2.7674627	-2.2392743	-0.36404333	0.1498744	2.7098353	-0.63567227	-0.21605732	0.16989227	2.9815843	25.103674	12.109375	6.177515	17.443068	8.3071222	4.1996632	4.5281782	9	2	1	0	1.522	12.002616	0	1	22	1	4	8	1	6.9460001	-5.947	3.775851	-2.775851	0.092051998	0.12036238	93.891083	133.37978	21.723097	16.095491	0	25.899061	17.238026	51.228157	24.509808	0	17.742489	11.365152	27.133842	2.503756	0.80994356	0.30377287	0.092617683	0.19005644	0.69622713	0.09743876	358.56989	134.4832	41.00275	84.139839	308.22653	43.137089	0.5	1	6.9460001	-5.947	0.098329976	0.15234572	0.52666163	0.31890592	0.14782777	0.4733384	0.68109405	0.32551062	233.15822	141.18275	65.444794	209.55151	301.52698	144.10672	9	0	4	0.098329976	0.15234572	1	1.244184	29.010639	49.112034	27.844185	66.100677	36.17569	35.383869	0	157.07335	18.868406	41.693756	11.37629	47.724434	98.664459	0	37.711788	0	212.82091	28.957146	35.383869	117.72	0.3597711	6.129283	3.9219642	9.6771288	442.70972	573.67365	56.241482	0	5.6825762	5.6825762	267.84015	86.442375	61.924061	431.47598	3394	49	166
0	0	50	4.3010302	-3.21737	62.693447	0	0	2	4	5	0	17	1	53	1	6	31	17	85.71331	1.6172322	0	0	22	0	0	22	0	7	2	0	0	1.2236942	-2.5700686	-0.58905655	0.65857244	2.7524397	-3.3584681	-0.53267699	0.71805286	2.5511642	-2.3998573	-0.4380185	0.79834574	2.9491825	32.566555	7	0.20588236	17	56	2	34	4	8	0.23529412	36	1	21.794317	16.809195	12.60193	14.518297	15.062881	9.9412041	5.7194142	7.5824828	1	1	0.75275493	18	1	-0.85024804	-0.39346501	0.12789416	2.7596059	-2.2392743	-0.35096806	0.15621518	2.699306	-0.63566989	-0.2166093	0.18276078	2.9759028	24.134949	11.421457	5.9259257	16.556755	7.728375	3.9695661	4.1276393	9	4	1	0	0.89399999	11.59831	1	1	22	1	4	7	1	7.4840002	-6.4840002	3.7442365	-2.7442365	0.092829242	0.12174899	68.893425	120.58361	50.151684	3.1459606	0	25.899061	17.238026	51.228157	24.509808	0	17.742489	11.365152	33.784962	0	0.79204148	0.32654122	0.10635009	0.20795853	0.67345881	0.10160845	336.25513	138.63057	45.150112	88.287201	285.91177	43.137089	0.5	1	7.4840002	-6.4840002	0.091261357	0.13972856	0.51905793	0.34232184	0.16392277	0.48094207	0.65767813	0.31701931	220.36206	145.33012	69.592155	204.18027	279.21222	134.58812	9	0	4	0.091261357	0.13972856	1	0.81778401	50.90794	49.112034	27.844185	66.100677	36.17569	0	0	157.07335	18.868406	39.207077	11.16233	47.724434	87.664574	0	32.897186	2.3279202	245.71809	28.957146	0	134.50999	0.36875206	6.0874629	3.89393	9.5834475	424.54233	553.25446	56.241482	0	5.6825762	23.425066	232.18172	82.179649	79.66655	416.465	3118	47	162
1	1	1.1	5.9586072	-4.6861901	86.393341	0	0	1	2	3	0	17	3	75	0	3	38	27	113.87869	1.5183825	0	0	29	1	0	37	0	7	1	0	0	1.186118	-2.800674	-0.57208782	0.69076115	2.8446786	-3.6351545	-0.52684522	0.65540177	2.6111836	-2.6347566	-0.4645606	0.79535574	3.0166376	50.406658	10	0.23809524	17	79	1	42	6	11	0.26190478	60	1	26.321415	22.537374	17.629028	19.597801	18.584852	13.977103	7.938993	10.048809	1	1	0.72441286	18	3	-0.87694001	-0.37308386	0.128372	3.1396871	-2.2764635	-0.32364666	0.16001941	2.9941807	-0.64527148	-0.21535045	0.18133382	3.3121805	29.490931	14.759003	8.2834187	23.371979	11.619023	6.4907994	7.1463041	8	4	1	1	2.575	15.202147	0	1	28	0	5	13	3	10.173	-7.1729999	5.8762007	-2.8762004	0.059471641	0.11822446	69.859581	182.35587	100.87704	3.1459606	0	12.949531	34.476051	53.436695	78.601562	0	17.742489	5.6825762	13.566921	0	0.88357651	0.29514918	0.033612169	0.11642352	0.70485079	0.082811348	506.0192	169.03024	19.249496	66.675079	403.66403	47.425583	0.5	1	10.173	-7.1729999	0.067138501	0.13369581	0.56960309	0.30684748	0.076291211	0.43039688	0.69315255	0.35410568	326.20844	175.7298	43.691536	246.48584	396.96448	202.7943	9	0	5	0.067138501	0.13369581	1	-0.096415997	24.259378	27.06772	27.844185	176.73814	12.313473	0	3.5006065	175.14536	18.868406	94.467377	14.51318	30.110844	70.879044	0	36.397793	0	249.3325	134.33583	39.148643	87.410004	0.32014427	6.3923173	3.9051778	10.225276	572.69427	738.68927	36.991985	0	5.6825762	5.6825762	419.69745	58.039555	42.674564	535.11597	5052	55	198
DOMPERIDONE	1	0.1621	6.7902169	-5.99792	63.34024	0	0	2	3	4	0	0	3	53	0	4	30	17	87.820724	1.6569948	0	0	22	1	0	23	0	5	2	0	0	1.063025	-2.803061	-0.52933967	0.5902546	2.8202579	-3.502593	-0.49688312	0.6510874	2.6386151	-2.6110256	-0.38517982	0.73173398	3.0042353	35.399761	5	0.14705883	0	57	10	34	5	5	0.14705883	47	0	20.664562	17.307795	13.068549	14.518297	14.597357	10.781017	6.3818808	7.932653	0	0	0.77657795	17	3	-0.88283676	-0.35539857	0.062410299	2.941612	-2.2597346	-0.31464314	0.16367942	2.8078015	-0.63028008	-0.20535259	0.1904856	3.1182079	21.82526	9.469388	4.5778546	16.923214	7.2739005	3.4931419	4.1032591	7	1	1	0	3.625	11.434541	0	1	26	1	5	7	1	7.7049999	-4.7049999	4.1575246	-1.1575245	0.14031994	0.29090729	68.470909	124.16144	13.399102	13.399102	0	0	43.500099	87.518608	54.091755	0	0	0	0	0	0.89247048	0.35005194	0	0.10752951	0.64994806	0.10752951	361.04092	141.61037	0	43.500099	262.93063	43.500099	0.47058824	0.8888889	7.7049999	-4.7049999	0.1440623	0.20382571	0.59284091	0.38034528	0.0951671	0.40715912	0.61965472	0.31199202	239.82845	153.86526	38.498993	164.71255	250.67574	126.21356	9	0	5	0.1440623	0.20382571	1	1.2984999	3.1243138	24.485088	3.9819686	73.758316	0	37.071667	0	123.50229	56.605217	86.873077	11.56225	54.646931	33.57106	0	7.4825754	0	180.10751	94.445213	39.148643	69.32	0.38632196	6.0874629	3.8359675	9.4722414	404.54102	547.15948	38.498993	0	0	0	280.08423	61.679291	38.498993	424.91199	2853	49	166
NICOTINE	0	245	3.6108339	-0.52618003	29.801895	1	1	0	0	1	0	6	1	27	0	1	12	10	34.559322	1.2799749	0	0	10	0	0	15	0	2	0	0	0	1.901908	-2.6098559	-0.49222949	0.67589355	2.7908854	-3.4220135	-0.50817227	0.59812725	2.7115939	-2.4088209	-0.43746704	0.71174622	2.9881556	19.038105	1	0.07692308	6	28	0	13	3	1	0.07692308	22	0	8.3889055	7.4552851	6.5080719	7.1044478	5.8770099	4.5995665	2.9409404	3.5580783	1	1	0.65341651	6	1	-0.88202983	-0.33179414	0.10338774	2.5869765	-2.2501101	-0.26710916	0.1508303	2.5475609	-0.63384134	-0.20998526	0.13813895	2.7752852	8.5917158	3.8062284	1.8595041	6.8556819	2.968488	1.4242733	1.6959175	2	1	1	0	1.375	5.0238914	0	1	11	1	2	2	0	3.0220001	-2.023	1.6892554	-0.68925542	0.20640931	0.48354119	70.164543	74.819489	7.4113464	0	0	0	8.6190128	12.254904	12.254904	0	0	0	5.6825762	0	0.92520356	0.15790437	0.029719533	0.074796453	0.84209561	0.045076922	176.90518	30.192385	5.6825762	14.301589	161.01439	8.6190128	0.5	1	3.0220001	-2.023	0.21376573	0.47404844	0.71821833	0.1694549	0.029719533	0.28178167	0.83054513	0.25206214	137.32822	32.400925	5.6825762	53.878563	158.80585	48.195988	3	0	2	0.21376573	0.47404844	1	0.52670002	3.1243138	16.78553	0	18.439579	3.185575	32.897186	0	69.71508	41.718781	0	4.8076701	3.1243138	16.78553	0	7.1675434	0	107.4519	18.439579	32.897186	17.33	0.68129086	4.7004399	2.4428155	6.8602829	191.20677	249.83145	5.6825762	0	0	0	166.94005	0	5.6825762	163.244	191	14	60
1	1	5.4000001	5.2676063	-4.9719701	56.51741	0	0	2	3	0	0	9	1	51	1	1	24	22	70.473167	1.3818269	0	0	20	0	2	27	0	2	0	0	0	1.5700687	-2.7381291	-0.61857343	0.60876942	2.7860649	-3.413625	-0.43443328	0.76194525	2.8845012	-2.5485044	-0.45045283	0.77449322	2.9991693	32.582588	2	0.074074075	10	54	0	27	2	2	0.074074075	44	0	16.518297	14.161342	12.328063	13.104083	11.737184	9.5054073	7.7817106	8.7659864	2	2	0.71550083	9	1	-0.87301457	-0.38783887	0.12034729	3.0189238	-2.247591	-0.25856963	0.21734016	3.0950365	-0.6360454	-0.2024556	0.18051986	3.251291	17.415638	7.7091413	3.6183696	14.607678	6.4138484	2.992846	3.9038098	2	3	1	0	4.8909998	9.4036703	0	1	23	1	4	7	0	3.55	-2.5510001	2.5422256	-1.5422255	0.13636979	0.23172954	92.55513	60.507736	14.4881	8.6190128	0	0	17.238026	56.375877	34.805252	0	0	23.817272	0	0.13689101	0.86649466	0.37315765	0.077636309	0.13350537	0.62684238	0.055869065	267.3511	115.13529	23.954163	41.192188	193.408	17.238026	0.44444445	0.80000001	3.55	-2.5510001	0.14169014	0.35515484	0.75265342	0.24693333	0.060309805	0.24734658	0.75306666	0.18703677	232.22617	76.189629	18.608187	76.317131	232.35368	57.708942	5	0	4	0.14169014	0.35515484	0.33333334	4.1336002	18.01075	0	36.252789	36.879158	5.9423227	0	8.8215923	57.646656	132.07884	29.920227	9.2613096	0	47.930977	25.906548	25.110153	4.7171016	185.00839	36.879158	0	32.400002	0.44886449	5.7548876	3.0348563	8.9229031	308.5433	466.03159	0	0	5.6825762	11.365152	262.77618	0	11.365152	333.44598	1206	42	130
